"Date","Price","High","Low","Close","Adj.Close","Volume","Price.bracket"
2020-10-20,45.029999,46.48,44.860001,46.200001,46.200001,4661900,"low"
2020-10-21,45.880001,46.470001,45.66,45.939999,45.939999,4001600,"low"
2020-10-22,49.189999,50.25,48.220001,49.810001,49.810001,13420800,"medium"
2020-10-23,49.799999,50.98,49.59,50.68,50.68,6652300,"high"
2020-10-26,49.950001,50.330002,48.790001,49.130001,49.130001,5168900,"high"
2020-10-27,49.810001,50.450001,47.970001,48.290001,48.290001,6498500,"high"
2020-10-28,46.98,47.860001,46.439999,46.860001,46.860001,5942800,"medium"
2020-10-29,46.75,48.279999,46.650002,47.84,47.84,4205500,"medium"
2020-10-30,47.189999,48.400002,46.959999,48.060001,48.060001,5208900,"medium"
2020-11-02,48.709999,49.650002,48.18,49.169998,49.169998,5287000,"medium"
2020-11-03,49.639999,50.139999,48.84,49.02,49.02,4207500,"high"
2020-11-04,48.900002,51.110001,48.450001,49.91,49.91,4409400,"medium"
2020-11-05,50.02,52.799999,49.939999,52.599998,52.599998,8837100,"high"
2020-11-06,52.240002,53.25,51.419998,52.98,52.98,5059500,"high"
2020-11-09,59.970001,60.880001,55.830002,57.869999,57.869999,16292100,"high"
2020-11-10,58.349998,59.400002,57.07,58.57,58.57,8732600,"high"
2020-11-11,58.91,58.91,56.610001,56.950001,56.950001,6309100,"high"
2020-11-12,55.639999,56.959999,55.110001,55.560001,55.560001,5679500,"high"
2020-11-13,55.77,58.349998,55.279999,58.279999,58.279999,5944100,"high"
2020-11-16,59.98,60.200001,58.139999,58.380001,58.380001,7886600,"high"
2020-11-17,57.630001,58.279999,56.799999,57.5,57.5,3541800,"high"
2020-11-18,57.369999,58.389999,56.799999,57.330002,57.330002,2885000,"high"
2020-11-19,57.349998,58.779999,56.799999,58.560001,58.560001,3631900,"high"
2020-11-20,58.029999,58.349998,55.849998,55.900002,55.900002,7507200,"high"
2020-11-23,56.07,57,54.869999,56.689999,56.689999,5985000,"high"
2020-11-24,57.919998,58.860001,57.349998,58.080002,58.080002,5015700,"high"
2020-11-25,57.900002,58.200001,56.360001,56.540001,56.540001,6092300,"high"
2020-11-27,56.59,57.169998,56.450001,56.59,56.59,1816900,"high"
2020-11-30,56.25,56.369999,54.900002,55.709999,55.709999,4883600,"high"
2020-12-01,56.59,57.34,56.09,56.619999,56.619999,3580800,"high"
2020-12-02,56.470001,58.169998,56.200001,57.610001,57.610001,4799400,"high"
2020-12-03,58.580002,59.75,58.099998,58.66,58.66,5297900,"high"
2020-12-04,59.16,60.119999,58.849998,60.110001,60.110001,4913500,"high"
